Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
3.495	16.542	145	100	45936	316.800	123.003	266.000	200	747	299.731	87.221	10.207	0.858	0.183	0.824	299.631	87.272	10.495	296	85	7	7	6	6
7.471	27.298	310	184	183299	591.287	369.794	455.000	201	1637	233.739	232.335	10.142	1.158	0.228	1.182	233.776	232.442	10.018	230	228	7	8	9	7
2.386	13.912	99	73	31768	320.889	102.980	296.000	200	600	257.778	268.616	10.222	0.821	0.284	0.798	257.786	268.629	10.304	255	267	7	6	4	7
0.675	6.294	28	25	6952	248.286	45.519	239.000	201	357	274.071	268.286	9.357	0.532	0.222	0.559	274.089	268.287	9.374	273	267	7	3	3	6
0.844	7.601	35	31	8570	244.857	40.730	233.000	200	334	262.143	303.629	9.029	0.574	0.240	0.511	262.109	303.750	9.036	261	299	7	3	8	4
0.916	7.019	38	34	11125	292.763	80.575	268.500	201	535	252.132	308.684	7.895	0.502	0.141	0.497	252.111	308.579	7.812	251	307	7	4	5	4
0.458	4.321	19	19	5831	306.895	91.587	281.000	201	531	26.684	361.684	7.316	0.360	0.092	0.359	26.705	361.743	7.267	25	360	7	4	4	2
0.458	4.321	19	19	4722	248.526	42.144	234.000	201	341	66.263	368.053	7.316	0.367	0.106	0.362	66.288	368.033	7.271	64	367	7	5	3	2
2.266	14.464	94	79	27203	289.394	97.625	250.500	200	636	154.883	387.117	9.255	0.769	0.294	0.719	154.696	387.145	9.320	150	385	7	13	6	4
0.578	4.990	24	22	6372	265.500	52.792	256.500	202	403	53.917	400.917	7.958	0.431	0.127	0.461	53.930	400.892	7.881	53	400	7	3	3	4
0.603	6.190	25	25	6577	263.080	57.382	244.000	200	420	58.200	406.440	7.480	0.502	0.192	0.497	58.325	406.544	7.424	56	404	7	5	6	3
0.337	3.580	14	14	3445	246.071	35.591	241.500	207	320	91.929	406.429	7.643	0.349	0.109	0.345	91.926	406.441	7.590	91	405	7	3	3	3
2.266	13.068	94	72	32835	349.309	165.189	289.000	200	939	87.372	410.713	8.170	0.704	0.127	0.717	87.572	410.891	8.039	84	408	7	7	7	4
1.301	8.764	54	48	13733	254.315	41.345	245.000	203	351	72.444	411.074	8.389	0.602	0.165	0.647	72.351	411.104	8.340	70	410	7	6	3	4
0.313	3.422	13	13	3534	271.846	60.090	257.000	200	386	90.615	416.769	7.077	0.332	0.114	0.350	90.625	416.788	7.059	89	415	7	4	4	2
0.265	2.911	11	11	2466	224.182	15.387	225.000	201	249	101.000	416.000	7.000	0.346	0.171	0.352	101.009	416.007	7.000	99	415	7	5	3	1
1.060	8.076	44	36	12510	284.318	71.246	266.000	201	434	287.455	85.273	10.364	0.595	0.179	0.575	287.464	85.259	10.502	286	84	8	4	4	5
2.699	15.133	112	89	32440	289.643	69.353	271.000	200	457	266.411	106.920	10.973	0.770	0.202	0.764	266.373	106.929	11.059	263	103	8	7	9	5
2.940	14.777	122	85	48657	398.828	190.507	325.000	201	1063	280.344	260.959	11.041	0.811	0.169	0.805	280.335	260.994	11.337	278	259	8	6	5	6
0.434	4.038	18	18	4417	245.389	43.774	232.000	200	338	290.444	17.944	10.944	0.397	0.152	0.430	290.425	17.940	10.965	290	17	9	2	3	4
1.952	15.255	81	73	19655	242.654	43.964	229.000	200	391	261.926	211.420	11.988	0.763	0.265	0.755	261.917	211.267	12.053	259	208	9	6	8	5
0.265	3.333	11	11	2618	238.000	31.003	231.000	200	295	292.000	136.182	11.273	0.339	0.121	0.349	292.009	136.193	11.276	291	135	10	3	3	3
0.892	6.719	37	32	11549	312.135	88.319	300.000	206	569	233.135	223.351	11.865	0.516	0.131	0.500	233.139	223.257	11.983	232	222	10	4	4	4
0.289	2.681	12	12	3300	275.000	55.903	267.500	208	375	299.000	10.500	11.500	0.303	0.053	0.340	299.042	10.501	11.552	298	10	11	3	2	2
