Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.265	3.580	11	10	11	1.000	0.000	1	1	1	146.818	205.545	12.727	0.369	0.148	0.325	146.818	205.545	12.727	146	204	11	3	4	4
0.386	5.432	16	15	17	1.062	0.250	1	1	2	13.562	332.938	12.250	0.566	0.182	0.558	13.647	333.000	12.294	11	331	11	6	5	4
0.458	5.044	19	19	19	1.000	0.000	1	1	1	151.158	356.316	13.105	0.488	0.220	0.465	151.158	356.316	13.105	150	354	11	3	5	4
0.289	3.262	12	11	12	1.000	0.000	1	1	1	2.750	145.667	13.167	0.345	0.095	0.343	2.750	145.667	13.167	2	145	12	3	3	3
0.458	4.903	19	19	19	1.000	0.000	1	1	1	4.632	154.474	13.684	0.410	0.137	0.417	4.632	154.474	13.684	3	152	13	4	6	2
9635.402	14364.818	399788	170594	8909336	22.285	37.318	10	1	735	92.239	244.805	22.405	27.068	10.776	27.082	92.310	217.057	22.970	0	17	15	186	428	14
0.289	3.527	12	12	12	1.000	0.000	1	1	1	10.583	163.917	18.000	0.379	0.191	0.410	10.583	163.917	18.000	10	163	17	2	3	4
0.482	6.066	20	20	21	1.050	0.224	1	1	2	41.600	172.400	17.600	0.498	0.213	0.459	41.619	172.429	17.571	39	171	17	6	4	4
1.591	11.161	66	54	77	1.167	0.376	1	1	2	49.606	177.439	20.379	0.758	0.296	0.707	49.545	177.442	20.506	48	176	17	4	4	7
0.988	9.700	41	39	45	1.098	0.300	1	1	2	38.390	280.000	20.561	0.822	0.306	0.963	38.378	280.000	20.689	37	278	17	5	5	7
0.578	6.753	24	24	25	1.042	0.204	1	1	2	0.375	284.000	20.292	0.661	0.338	0.621	0.360	284.000	20.320	0	283	17	3	3	7
0.844	8.163	35	35	43	1.229	0.426	1	1	2	0.286	289.800	20.686	0.665	0.316	0.663	0.233	289.744	20.837	0	288	17	2	5	7
0.506	5.378	21	18	29	1.381	0.590	1	1	3	27.000	298.000	20.000	0.426	0.155	0.462	27.000	298.000	20.000	26	297	18	3	3	5
0.241	3.015	10	10	11	1.100	0.316	1	1	2	0.100	160.000	21.000	0.338	0.147	0.391	0.091	160.000	21.000	0	159	20	2	3	3
0.675	5.979	28	27	29	1.036	0.189	1	1	2	57.000	238.000	26.357	0.542	0.168	0.585	57.000	238.000	26.310	56	237	25	3	3	4
0.434	5.696	18	18	18	1.000	0.000	1	1	1	94.889	248.278	25.444	0.595	0.202	0.656	94.889	248.278	25.444	93	245	25	5	7	2
3.856	26.791	160	134	221	1.381	0.931	1	1	7	37.531	276.900	26.650	1.119	0.550	0.924	37.448	277.127	26.873	28	271	25	18	11	4
2.410	15.890	100	89	155	1.550	1.209	1	1	9	1.210	287.140	26.750	0.831	0.263	0.864	0.942	287.865	26.916	0	283	25	4	10	4
0.868	6.895	36	34	44	1.222	0.485	1	1	3	26.722	298.222	26.583	0.552	0.170	0.618	26.750	298.205	26.386	25	297	25	4	4	4
0.337	3.439	14	14	15	1.071	0.267	1	1	2	36.000	215.000	27.643	0.318	0.068	0.353	36.000	215.000	27.667	35	214	27	3	3	2
0.386	3.880	16	16	17	1.062	0.250	1	1	2	84.062	270.750	27.688	0.342	0.092	0.340	84.059	270.765	27.706	83	269	27	3	4	2
