Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
8.170	39.814	339	212	1197	3.531	4.591	2.000	1	37	323.720	438.027	23.080	1.869	1.028	1.664	323.767	438.050	25.199	321	435	12	7	7	18
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	346.000	443.000	13.000	0.382	0.086	0.390	346.000	443.000	13.000	345	442	12	3	3	3
0.265	3.192	11	10	12	1.091	0.302	1.000	1	2	186.636	133.000	14.000	0.326	0.086	0.317	186.667	133.000	14.000	186	132	13	3	3	3
0.844	6.525	35	31	46	1.314	0.530	1.000	1	3	201.371	174.114	14.371	0.509	0.137	0.483	201.348	174.087	14.304	200	173	13	4	3	4
6.266	40.614	260	205	691	2.658	3.648	1.000	1	22	171.215	184.508	25.212	1.694	0.943	1.588	171.349	185.001	27.039	167	174	13	9	16	17
0.578	5.502	24	21	28	1.167	0.482	1.000	1	3	451.917	246.750	14.125	0.436	0.111	0.439	451.929	246.786	14.107	451	245	13	3	4	4
0.771	5.766	32	30	40	1.250	0.508	1.000	1	3	481.000	262.000	14.312	0.486	0.145	0.442	481.000	262.000	14.450	480	261	13	3	3	4
6.917	33.113	287	199	1897	6.610	10.101	2.000	1	65	394.059	345.021	23.920	1.693	0.923	1.551	394.039	345.025	26.410	391	342	13	7	7	17
6.917	34.046	287	187	738	2.571	2.307	2.000	1	15	413.742	354.941	23.000	1.697	0.876	1.619	413.714	354.917	24.318	411	352	13	6	6	17
0.458	4.603	19	18	20	1.053	0.229	1.000	1	2	492.000	412.000	14.000	0.382	0.086	0.390	492.000	412.000	14.000	491	411	13	3	3	3
0.771	8.798	32	29	32	1.000	0.000	1.000	1	1	202.031	3.188	17.188	0.777	0.428	0.708	202.031	3.188	17.188	200	2	14	5	3	9
0.699	5.378	29	26	33	1.138	0.441	1.000	1	3	480.000	400.000	16.000	0.456	0.136	0.462	480.000	400.000	16.000	479	399	14	3	3	5
6.122	32.267	254	177	728	2.866	3.700	2.000	1	24	302.697	428.555	23.929	1.637	0.815	1.691	302.644	428.533	26.162	300	426	14	7	7	16
15.208	78.455	631	443	1953	3.095	4.768	1.000	1	35	397.959	444.575	25.105	1.821	0.747	1.719	397.742	443.212	26.175	390	440	14	15	14	16
5.953	27.788	247	167	1051	4.255	4.549	3.000	1	28	509.308	9.899	24.935	1.308	0.590	1.270	509.597	9.969	26.260	506	7	15	6	7	15
6.531	32.514	271	183	956	3.528	4.929	2.000	1	30	260.439	361.443	24.672	1.521	0.773	1.480	260.389	361.403	26.919	257	358	15	8	7	15
9.375	40.360	389	228	1126	2.895	2.894	2.000	1	17	211.823	364.144	23.833	1.564	0.647	1.494	211.841	364.379	25.343	208	360	15	8	9	15
11.858	49.567	492	308	2523	5.128	8.284	2.000	1	56	409.799	378.774	24.898	1.666	0.708	1.618	410.937	378.832	26.591	403	375	15	13	9	15
6.700	31.685	278	180	980	3.525	4.135	2.000	1	30	306.237	114.982	23.924	1.478	0.638	1.518	306.135	114.948	25.177	303	112	16	7	6	14
7.230	33.942	300	188	1466	4.887	7.596	2.000	1	61	314.990	403.877	24.290	1.513	0.679	1.548	314.940	403.892	26.295	312	401	16	7	7	14
8.556	35.793	355	209	1623	4.572	5.468	2.000	1	35	363.518	432.704	24.594	1.491	0.612	1.525	363.563	432.744	26.173	360	429	16	8	8	14
0.916	7.317	38	34	40	1.053	0.226	1.000	1	2	181.000	158.000	19.921	0.554	0.219	0.503	181.000	158.000	19.950	180	157	17	3	3	6
3.977	23.840	165	123	295	1.788	1.521	1.000	1	10	239.091	195.133	24.394	1.404	0.616	1.496	239.108	195.041	25.597	237	193	17	6	5	13
4.965	27.667	206	152	432	2.097	2.116	1.000	1	14	395.519	237.398	24.539	1.419	0.683	1.465	395.602	237.502	26.137	393	234	17	6	8	13
3.374	20.083	140	114	291	2.079	1.726	1.000	1	10	208.993	106.029	24.729	1.354	0.635	1.392	209.031	106.086	25.729	207	104	18	5	5	12
0.386	5.061	16	15	16	1.000	0.000	1.000	1	1	56.750	110.062	20.562	0.585	0.291	0.635	56.750	110.062	20.562	56	109	18	3	4	6
7.086	31.545	294	182	1139	3.874	5.164	2.000	1	31	455.133	125.585	24.980	1.368	0.527	1.355	455.170	125.593	26.753	452	123	18	8	7	12
6.266	29.710	260	165	1131	4.350	5.614	2.000	1	40	201.119	173.808	24.788	1.348	0.545	1.394	201.111	173.933	26.191	198	170	18	7	8	12
2.820	19.521	117	97	167	1.427	0.844	1.000	1	6	416.846	238.615	25.068	1.337	0.570	1.537	416.832	238.611	25.784	415	236	18	5	6	12
4.097	23.646	170	131	527	3.100	4.470	1.000	1	30	347.900	303.982	25.329	1.296	0.642	1.303	347.922	304.030	27.245	345	301	18	6	7	12
4.868	25.267	202	136	456	2.257	1.821	1.500	1	11	429.228	366.837	24.703	1.282	0.521	1.375	429.195	366.853	25.235	427	364	18	6	6	12
0.627	6.859	26	23	27	1.038	0.196	1.000	1	2	209.423	410.654	21.115	0.598	0.296	0.529	209.407	410.667	21.148	208	409	18	4	4	6
3.302	21.018	137	102	379	2.766	3.085	2.000	1	20	493.949	14.080	25.263	1.221	0.521	1.240	493.923	14.040	26.586	492	12	19	5	5	11
