Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
17.305	58.678	718	337	341635	475.815	275.547	385.000	200	1716	224.263	375.944	11.618	1.785	0.650	1.667	224.534	376.146	11.977	220	372	4	10	10	17
0.434	4.743	18	18	4250	236.111	24.141	234.500	202	282	220.278	419.944	5.278	0.437	0.165	0.454	220.269	419.927	5.263	220	418	4	2	5	4
0.265	3.720	11	10	2434	221.273	24.892	208.000	202	272	127.091	440.091	5.818	0.417	0.208	0.356	127.088	440.086	5.839	126	439	4	3	3	5
0.458	4.496	19	19	4475	235.526	21.780	238.000	200	273	193.474	66.368	6.737	0.491	0.227	0.515	193.467	66.378	6.750	193	65	5	2	3	5
0.265	3.209	11	11	2574	234.000	25.706	232.000	202	281	191.636	177.636	6.818	0.367	0.172	0.367	191.669	177.641	6.826	191	177	5	2	2	4
0.675	6.101	28	25	7660	273.571	62.059	251.500	202	415	253.286	261.893	6.964	0.532	0.212	0.494	253.294	261.854	7.015	252	261	5	3	3	5
1.422	11.302	59	51	15559	263.712	51.987	249.000	202	413	244.017	308.831	7.864	0.716	0.279	0.683	244.126	308.905	7.916	242	307	5	5	5	7
0.410	4.426	17	15	3883	228.412	24.285	222.000	200	281	150.824	405.765	6.706	0.431	0.149	0.406	150.828	405.765	6.713	150	405	5	3	3	4
3.519	20.718	146	107	48546	332.507	132.325	282.000	201	778	17.212	22.568	11.260	1.116	0.524	0.980	17.451	22.526	11.569	12	20	6	9	5	11
1.494	10.473	62	54	16100	259.677	45.461	245.500	202	378	179.290	35.855	9.516	0.766	0.349	0.671	179.255	35.860	9.600	178	35	6	4	3	8
0.265	3.720	11	10	2572	233.818	37.957	215.000	205	309	152.818	65.000	8.000	0.423	0.206	0.393	152.830	65.004	8.011	152	64	6	3	3	5
3.495	21.704	145	106	49885	344.034	152.183	286.000	202	923	123.048	90.710	11.117	1.072	0.445	0.981	123.027	90.637	11.531	121	88	6	5	7	11
4.989	26.060	207	135	74206	358.483	174.161	292.000	200	981	164.594	241.855	11.227	1.165	0.449	1.092	164.669	241.773	11.087	160	240	6	9	5	11
0.482	5.007	20	20	4469	223.450	15.281	220.000	202	253	241.200	286.500	8.300	0.489	0.243	0.442	241.204	286.497	8.292	240	286	6	3	2	6
0.289	3.333	12	12	2745	228.750	18.777	226.000	200	262	12.583	7.250	8.667	0.356	0.148	0.320	12.580	7.247	8.683	12	6	7	2	3	4
7.544	34.540	313	189	142815	456.278	282.296	362.000	200	1619	6.492	17.946	13.220	1.424	0.609	1.332	6.431	18.016	13.381	4	13	7	6	10	15
5.350	28.561	222	151	82378	371.072	194.782	293.500	200	1124	137.230	95.212	17.369	1.444	0.814	1.202	137.181	95.281	17.967	135	93	7	5	6	18
22.559	88.955	936	513	374754	400.378	194.595	343.000	200	1408	239.729	239.375	20.134	2.524	1.043	2.539	239.935	239.370	20.182	231	231	7	17	16	22
2.169	15.551	90	74	22525	250.278	48.577	235.000	200	410	242.956	260.344	12.322	1.004	0.498	0.930	242.940	260.342	12.532	241	259	7	5	4	11
32.489	129.725	1348	752	500390	371.209	173.847	314.000	200	1123	233.467	314.289	20.558	2.599	1.107	2.659	233.693	314.123	20.703	223	302	7	19	20	22
0.289	2.821	12	12	2807	233.917	19.879	235.500	207	266	145.500	415.500	8.000	0.344	0.124	0.428	145.497	415.469	8.007	145	415	7	2	2	3
0.241	3.209	10	10	2303	230.300	30.317	219.000	201	288	168.700	480.100	8.700	0.361	0.163	0.316	168.706	480.086	8.724	168	479	7	2	3	4
0.289	3.209	12	12	2789	232.417	23.087	229.000	203	277	143.583	493.583	8.500	0.378	0.170	0.274	143.606	493.608	8.496	143	493	7	2	2	4
41.020	142.292	1702	792	943965	554.621	418.134	396.000	200	2440	189.656	16.891	20.106	2.416	0.936	2.325	190.881	16.520	20.921	178	8	8	21	23	21
0.434	4.620	18	16	4292	238.444	38.319	218.500	201	325	183.778	112.778	9.500	0.432	0.146	0.365	183.793	112.775	9.493	183	112	8	3	3	4
1.663	12.923	69	60	18259	264.623	50.741	260.000	203	393	214.928	115.116	12.420	1.004	0.564	0.977	214.948	115.168	12.249	214	113	8	3	5	11
5.929	36.603	246	182	71986	292.626	109.265	249.000	200	782	164.378	275.037	17.516	1.887	0.952	1.818	164.337	275.062	18.378	162	270	8	7	9	18
1.229	9.697	51	48	11793	231.235	20.208	229.000	200	276	237.392	295.392	11.529	0.763	0.374	0.682	237.374	295.398	11.577	236	294	8	4	4	8
0.386	3.968	16	16	3409	213.062	9.147	212.000	201	230	180.500	465.812	8.938	0.382	0.138	0.435	180.497	465.817	8.938	180	464	8	2	4	3
0.265	2.821	11	11	2432	221.091	12.202	220.000	200	243	109.455	20.545	10.091	0.334	0.126	0.396	109.456	20.560	10.088	109	20	9	2	2	3
1.783	14.387	74	61	22008	297.405	83.272	270.000	204	544	193.784	50.365	12.986	0.902	0.451	0.824	193.890	50.475	12.825	191	47	9	6	6	10
12.750	82.537	529	402	146274	276.510	67.030	257.000	200	524	228.890	336.781	19.645	2.309	0.986	2.298	228.939	336.712	19.588	221	327	9	16	21	20
8.074	43.128	335	228	106525	317.985	114.555	277.000	200	747	226.155	361.227	16.293	1.617	0.743	1.541	226.059	361.396	16.657	222	355	9	9	13	16
8.291	34.928	344	186	167111	485.788	324.828	356.500	200	1744	202.462	75.512	15.355	1.391	0.541	1.266	202.504	75.350	15.693	199	72	10	7	8	13
3.350	18.108	139	92	53296	383.424	177.037	339.000	201	948	224.424	142.597	14.079	0.968	0.361	0.911	224.429	142.667	14.049	222	140	10	5	6	9
0.265	3.720	11	11	2272	206.545	6.283	203.000	201	219	166.273	153.091	11.545	0.496	0.241	0.572	166.267	153.085	11.575	166	152	10	2	3	5
2.338	16.079	97	83	26096	269.031	52.466	264.000	200	422	209.216	225.969	15.866	1.127	0.572	1.148	209.208	225.974	15.915	207	225	10	5	3	13
2.748	18.268	114	88	30358	266.298	64.462	244.000	200	467	244.965	247.254	13.281	0.888	0.315	0.850	244.932	247.387	13.367	243	244	10	5	7	8
24.897	113.415	1033	609	375398	363.406	178.277	302.000	200	1283	214.218	406.912	17.879	2.055	0.842	1.922	214.333	406.605	18.173	205	398	10	18	21	19
2.193	17.456	91	79	24851	273.088	74.812	250.000	200	553	199.725	66.802	15.385	1.023	0.469	0.963	199.669	66.565	15.527	198	64	11	5	7	10
12.219	45.544	507	277	292216	576.363	384.966	440.000	200	2029	214.872	72.848	17.327	1.505	0.504	1.479	215.140	72.804	17.508	207	70	11	15	6	14
0.699	6.595	29	26	6905	238.103	26.131	238.000	201	288	117.345	81.724	12.552	0.499	0.152	0.500	117.343	81.736	12.566	116	80	11	4	4	4
1.422	10.155	59	50	16714	283.288	66.073	265.000	202	487	211.034	101.881	14.576	0.739	0.325	0.670	211.033	101.903	14.627	210	100	11	3	4	8
1.205	8.868	50	45	16627	332.540	100.648	313.500	204	623	197.960	165.080	13.840	0.679	0.303	0.578	197.940	165.100	13.873	197	164	11	3	3	7
4.049	22.005	168	114	63830	379.940	165.230	326.500	202	1038	254.500	244.250	14.845	0.962	0.302	0.952	254.283	244.342	14.897	251	242	11	8	5	9
0.892	7.317	37	33	9975	269.595	55.639	259.000	202	420	167.919	284.027	13.135	0.563	0.227	0.505	167.880	284.008	13.166	167	283	11	3	3	6
2.145	14.651	89	68	25599	287.629	83.740	254.000	200	546	142.989	385.427	15.876	0.882	0.405	0.840	143.021	385.383	16.014	141	384	11	5	4	10
0.362	3.597	15	15	4053	270.200	34.341	275.000	220	323	169.467	471.533	12.400	0.423	0.179	0.300	169.468	471.559	12.372	169	471	11	2	2	4
0.458	5.907	19	19	4320	227.368	19.291	219.000	204	269	12.263	18.737	14.684	0.661	0.253	0.674	12.254	18.692	14.728	11	17	12	3	5	6
0.892	7.123	37	34	11000	297.297	68.014	283.000	201	473	130.000	74.757	14.243	0.584	0.243	0.548	130.029	74.727	14.227	129	74	12	3	3	6
2.892	16.573	120	84	55742	464.517	249.714	381.000	202	1283	153.150	213.300	15.742	0.948	0.372	0.875	153.140	213.278	15.823	151	211	12	5	5	9
0.795	6.806	33	29	8777	265.970	52.186	245.000	200	401	178.879	226.818	14.242	0.550	0.222	0.533	178.889	226.799	14.270	178	226	12	3	3	6
8.291	39.531	344	215	124791	362.765	148.349	321.000	200	852	245.756	228.895	17.331	1.312	0.472	1.287	245.807	228.896	17.452	241	226	12	10	7	12
7.809	41.329	324	225	95401	294.448	80.353	271.500	200	581	234.753	289.160	20.194	1.545	0.735	1.382	234.799	289.243	20.124	232	283	12	8	11	17
0.651	5.642	27	25	6708	248.444	36.533	235.000	203	340	159.111	320.259	13.852	0.486	0.180	0.457	159.105	320.273	13.840	158	319	12	3	3	5
2.314	13.806	96	66	39128	407.583	189.274	332.500	203	967	234.938	369.479	15.333	0.843	0.314	0.785	234.955	369.452	15.324	233	368	12	5	4	8
0.506	4.814	21	21	5563	264.905	46.989	253.000	204	366	217.905	425.429	13.762	0.449	0.192	0.417	217.903	425.421	13.741	217	425	12	3	2	5
0.386	4.496	16	16	3620	226.250	25.423	217.500	200	285	168.188	2.688	15.250	0.463	0.212	0.445	168.189	2.701	15.237	167	2	13	3	2	5
1.783	13.541	74	64	23782	321.378	112.071	283.000	201	649	161.135	29.595	16.797	0.830	0.367	0.788	161.018	29.449	16.927	159	28	13	5	6	9
0.916	7.581	38	33	11280	296.842	76.969	281.500	200	511	168.868	43.132	16.000	0.588	0.252	0.495	168.847	43.116	16.024	168	42	13	3	3	7
6.218	29.834	258	166	103210	400.039	213.341	323.500	200	1156	228.283	128.795	20.271	1.296	0.565	1.144	228.383	128.771	20.588	225	126	13	7	7	14
2.892	17.279	120	87	41857	348.808	146.738	296.000	200	805	174.575	291.017	17.792	0.971	0.398	0.909	174.589	291.087	18.039	173	288	13	4	6	10
0.482	4.372	20	20	4836	241.800	26.771	247.500	201	290	222.500	390.500	15.000	0.526	0.248	0.428	222.496	390.514	15.012	222	390	13	2	2	5
0.337	3.403	14	14	3594	256.714	26.569	254.500	213	304	148.571	486.500	14.286	0.404	0.176	0.336	148.581	486.513	14.246	148	486	13	2	2	4
12.002	56.671	498	306	157350	315.964	105.587	283.500	200	724	173.576	7.859	18.956	1.536	0.597	1.456	173.662	7.627	19.016	167	2	14	12	12	15
5.640	31.101	234	160	99121	423.594	261.674	321.000	200	1466	233.299	161.739	21.406	1.254	0.545	1.149	233.626	161.868	21.882	230	158	14	7	7	15
15.859	56.669	658	355	301660	458.450	257.906	366.000	201	1636	238.021	215.419	21.856	1.751	0.626	1.710	238.121	215.344	22.377	234	209	14	8	14	15
0.771	6.612	32	32	8217	256.781	44.291	248.500	200	325	199.531	227.375	16.750	0.553	0.252	0.513	199.521	227.379	16.724	199	226	14	2	4	6
11.978	56.793	497	306	200959	404.344	201.402	337.000	200	1145	243.658	268.316	19.915	1.514	0.507	1.533	243.744	268.187	20.063	238	263	14	11	13	13
2.241	15.093	93	77	24257	260.828	55.170	247.000	200	416	226.172	350.914	17.645	1.006	0.471	0.968	226.202	350.944	17.573	224	349	14	5	5	10
0.868	7.775	36	34	8714	242.056	32.440	233.000	203	326	9.833	465.444	17.194	0.663	0.326	0.586	9.846	465.455	17.196	9	464	14	3	4	8
