Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.988	9.009	41	39	10353	252.512	49.558	231.000	201	370	446.024	7.366	24.561	0.758	0.410	0.636	446.017	7.370	24.538	445	6	20	3	3	10
4.555	30.537	189	159	46295	244.947	36.612	234.000	200	355	432.143	34.439	26.233	1.166	0.482	1.140	432.102	34.475	26.340	428	31	20	9	9	11
3.808	26.147	158	129	38590	244.241	32.680	239.000	200	338	476.316	77.348	26.829	1.064	0.458	1.027	476.306	77.373	26.973	473	75	20	9	6	11
0.988	9.855	41	36	9945	242.561	35.894	236.000	200	347	452.146	81.171	24.756	0.828	0.468	0.744	452.133	81.164	24.765	451	80	20	3	3	11
3.037	19.164	126	95	30239	239.992	31.311	232.500	200	319	445.294	91.960	25.516	1.117	0.518	1.048	445.318	91.985	25.578	443	90	20	5	5	11
2.410	17.684	100	86	24669	246.690	38.346	239.500	201	355	435.430	98.980	24.730	0.991	0.497	0.928	435.383	98.943	24.708	434	97	20	5	6	11
0.988	8.745	41	37	9213	224.707	21.791	216.000	201	270	444.878	114.171	24.146	0.690	0.367	0.539	444.869	114.186	24.113	444	113	20	3	3	9
0.337	4.179	14	14	3282	234.429	25.636	229.500	206	281	367.429	326.214	22.286	0.508	0.295	0.436	367.419	326.194	22.273	367	326	20	2	2	6
3.784	25.003	157	144	36562	232.879	23.338	227.000	200	289	503.803	25.427	27.350	1.181	0.504	1.134	503.832	25.524	27.304	502	19	21	4	12	10
1.783	15.340	74	70	16613	224.500	18.121	219.500	200	274	334.486	121.581	26.770	1.068	0.506	1.095	334.450	121.597	26.740	333	118	21	6	7	10
0.578	5.536	24	24	6000	250.000	31.320	239.000	201	306	398.458	131.458	24.458	0.638	0.332	0.611	398.419	131.451	24.436	398	131	21	2	2	7
8.146	34.070	338	205	85123	251.843	44.831	238.000	200	377	415.006	165.624	27.320	1.246	0.346	1.206	414.997	165.675	27.362	410	161	21	12	9	10
3.278	19.060	136	105	33525	246.507	40.049	234.500	200	353	376.566	179.963	26.625	1.057	0.446	1.061	376.547	180.027	26.719	374	178	21	6	6	10
1.470	10.878	61	57	15271	250.344	36.442	244.000	200	319	273.148	215.721	26.328	0.931	0.492	0.926	273.159	215.697	26.468	272	215	21	3	3	10
0.868	9.256	36	33	8575	238.194	40.553	215.000	200	325	351.889	290.167	26.917	0.869	0.538	0.807	351.929	290.091	27.135	350	289	21	4	4	10
2.314	14.334	96	78	24835	258.698	50.527	243.000	200	416	370.250	300.281	26.667	0.972	0.454	0.980	370.241	300.308	26.897	369	299	21	4	4	10
0.699	7.211	29	29	6774	233.586	26.512	227.000	200	285	379.586	311.724	24.655	0.724	0.427	0.657	379.592	311.741	24.648	379	311	21	2	3	9
1.494	12.041	62	54	16304	262.968	49.912	251.500	200	394	500.952	389.226	25.839	0.944	0.493	0.881	500.928	389.239	25.818	500	388	21	3	3	10
0.771	7.087	32	32	7367	230.219	17.663	230.500	203	264	441.500	104.562	26.000	0.821	0.447	0.800	441.491	104.571	25.953	441	104	22	2	2	9
1.085	9.327	45	41	10328	229.511	27.754	218.000	200	295	433.778	107.178	26.267	0.755	0.389	0.708	433.766	107.172	26.292	433	106	22	3	3	9
1.663	10.807	69	62	16176	234.435	23.995	229.000	200	301	430.000	128.000	26.638	0.844	0.394	0.729	430.000	128.003	26.647	429	127	22	3	3	9
2.820	15.868	117	90	44951	384.197	184.464	330.000	200	949	395.034	141.453	26.906	0.939	0.383	0.896	395.117	141.463	27.423	393	140	22	5	4	9
1.759	12.659	73	60	20323	278.397	59.735	266.000	200	397	323.630	372.795	26.836	0.880	0.405	0.835	323.631	372.784	26.989	322	371	22	4	4	9
0.337	3.597	14	14	2981	212.929	7.898	214.000	202	225	420.500	46.571	25.000	0.409	0.200	0.423	420.500	46.579	24.997	420	46	23	2	2	5
1.301	9.256	54	49	18432	341.333	95.476	320.000	204	592	401.019	53.019	27.407	0.723	0.341	0.667	401.033	53.022	27.705	400	52	23	3	3	8
2.555	17.633	106	90	28383	267.764	60.484	244.500	200	438	456.274	94.000	27.764	0.932	0.377	0.909	456.279	93.951	27.785	452	92	23	9	7	8
2.049	15.199	85	78	19778	232.682	26.624	227.000	200	317	410.047	124.094	27.882	0.839	0.337	0.830	410.073	124.062	27.952	408	122	23	5	7	8
0.434	4.566	18	18	3821	212.278	7.521	213.500	201	226	410.556	156.389	25.278	0.513	0.268	0.523	410.560	156.376	25.286	410	156	23	2	2	6
0.337	3.597	14	14	3026	216.143	9.631	216.000	200	228	362.429	214.429	24.500	0.412	0.178	0.280	362.423	214.421	24.489	362	214	23	2	2	4
0.241	3.350	10	10	2281	228.100	14.325	225.000	209	251	357.000	241.400	25.500	0.528	0.294	0.593	357.000	241.383	25.454	357	241	23	1	2	6
1.639	11.619	68	58	15715	231.103	21.430	229.500	200	281	336.529	281.162	27.103	0.853	0.378	0.840	336.546	281.174	27.186	335	280	23	4	4	8
0.362	3.985	15	15	3205	213.667	7.490	211.000	202	227	388.600	320.467	24.800	0.459	0.224	0.492	388.606	320.468	24.808	388	320	23	2	2	5
0.675	6.682	28	28	6296	224.857	25.239	211.000	200	280	440.679	90.250	28.071	0.632	0.340	0.515	440.676	90.244	28.134	440	89	24	3	3	7
1.591	11.161	66	56	17875	270.833	56.304	253.000	200	421	371.894	199.439	27.833	0.760	0.298	0.759	371.904	199.455	27.962	370	198	24	5	4	7
0.651	5.924	27	27	6583	243.815	28.603	236.000	200	297	270.481	233.481	27.111	0.696	0.360	0.757	270.442	233.489	27.125	270	233	24	2	2	7
0.458	5.272	19	19	4186	220.316	14.959	218.000	200	244	324.474	258.789	27.368	0.572	0.338	0.549	324.475	258.801	27.398	324	258	24	2	3	7
0.964	8.040	40	36	11403	285.075	63.223	269.000	201	442	385.950	307.275	27.575	0.681	0.303	0.640	385.966	307.251	27.671	385	306	24	3	3	7
0.482	4.760	20	20	4597	229.850	22.469	228.500	201	275	470.550	86.550	27.950	0.545	0.281	0.446	470.569	86.582	27.970	470	86	25	2	2	6
0.362	4.179	15	15	3348	223.200	13.986	223.000	201	244	440.667	94.400	28.333	0.527	0.308	0.536	440.679	94.396	28.380	440	94	25	2	2	6
0.940	8.481	39	36	8803	225.718	16.120	230.000	200	253	379.795	303.179	27.974	0.627	0.266	0.538	379.771	303.149	28.010	379	302	25	3	4	6
0.771	6.876	32	29	8730	272.812	57.209	261.000	204	431	366.250	317.031	28.125	0.583	0.246	0.512	366.245	317.039	28.264	365	316	25	3	3	6
0.386	3.985	16	16	3966	247.875	29.830	242.500	202	303	415.438	37.562	28.438	0.461	0.221	0.438	415.402	37.597	28.423	415	37	26	2	2	5
0.554	5.325	23	23	5389	234.304	33.798	218.000	200	297	473.043	62.522	28.348	0.514	0.218	0.542	473.028	62.523	28.385	472	62	26	3	2	5
0.506	5.713	21	21	4589	218.524	13.284	216.000	200	245	497.952	64.333	28.857	0.485	0.223	0.476	497.948	64.343	28.880	497	63	26	4	3	5
0.265	3.473	11	11	2450	222.727	21.717	212.000	200	258	403.364	143.818	28.091	0.452	0.242	0.437	403.338	143.835	28.089	403	143	26	2	2	5
0.627	5.890	26	24	5727	220.269	17.035	213.500	200	253	364.192	204.077	28.962	0.501	0.206	0.473	364.164	204.076	28.971	363	203	26	4	3	5
0.530	5.255	22	22	5045	229.318	21.284	227.000	200	271	385.500	314.455	28.773	0.488	0.221	0.507	385.494	314.435	28.814	385	313	26	2	4	5
0.627	5.713	26	25	5858	225.308	22.382	217.000	200	271	383.077	318.346	28.346	0.523	0.227	0.532	383.068	318.363	28.356	382	317	26	3	3	5
0.289	3.403	12	12	2494	207.833	5.844	208.000	200	218	476.667	371.583	27.833	0.399	0.215	0.372	476.672	371.577	27.833	476	371	26	2	2	5
0.362	4.355	15	15	3388	225.867	24.553	219.000	200	272	491.267	30.867	29.133	0.415	0.170	0.440	491.263	30.878	29.160	490	30	27	4	3	4
0.627	5.378	26	25	5752	221.231	16.437	215.500	201	256	390.038	80.231	28.846	0.479	0.167	0.461	390.047	80.228	28.868	389	79	27	4	3	4
0.554	5.378	23	23	5212	226.609	19.602	220.000	200	272	348.609	215.174	29.000	0.436	0.168	0.451	348.610	215.161	29.034	347	214	27	4	3	4
0.530	5.642	22	22	4947	224.864	13.837	224.000	208	251	389.136	324.682	28.773	0.493	0.184	0.502	389.141	324.686	28.803	388	323	27	3	4	4
0.337	3.703	14	13	3409	243.500	40.069	230.000	202	342	388.929	177.071	29.500	0.346	0.089	0.331	388.962	177.075	29.524	388	176	28	3	3	3
