Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.362	4.496	15	14	3682	245.467	42.532	229.000	202	336	487.200	143.933	14.800	0.453	0.195	0.402	487.210	143.945	14.786	486	143	13	3	3	5
0.434	4.496	18	18	3852	214.000	13.526	208.000	200	241	154.778	153.444	14.722	0.487	0.236	0.441	154.785	153.441	14.735	154	153	13	3	2	5
26.102	118.176	1083	660	399143	368.553	218.431	293.000	200	1685	358.246	221.931	23.253	2.562	1.119	2.484	357.586	222.071	23.113	346	212	13	28	24	18
0.554	6.171	23	19	5750	250.000	43.824	245.000	201	358	399.043	264.957	15.522	0.524	0.220	0.624	399.049	264.964	15.544	398	264	13	3	3	6
3.929	28.757	163	134	46677	286.362	71.558	270.000	200	507	40.755	268.669	18.129	1.172	0.531	1.030	40.818	268.767	17.989	37	265	13	8	8	13
37.140	126.373	1541	781	686234	445.317	268.378	347.000	200	1641	113.933	300.579	24.490	2.382	0.822	2.354	113.667	299.690	24.310	109	286	13	12	29	18
0.410	4.302	17	17	4026	236.824	23.943	234.000	200	271	272.176	306.412	14.588	0.464	0.221	0.349	272.187	306.431	14.581	271	306	13	3	2	5
0.723	6.224	30	27	8345	278.167	60.382	258.000	207	402	53.800	311.167	15.000	0.527	0.205	0.489	53.776	311.219	14.934	53	310	13	3	3	5
1.326	9.574	55	47	18325	333.182	112.710	314.000	200	663	204.818	316.073	15.945	0.708	0.299	0.611	204.808	316.083	15.876	203	315	13	4	3	7
0.241	3.085	10	10	2270	227.000	20.688	221.500	203	258	146.400	315.800	14.500	0.394	0.179	0.296	146.406	315.820	14.481	146	315	13	2	2	4
1.615	11.319	67	58	20049	299.239	79.615	288.000	201	512	311.970	360.254	17.045	0.859	0.412	0.831	311.961	360.256	17.061	311	359	13	3	4	9
0.603	5.713	25	25	6083	243.320	32.304	241.000	201	311	113.440	379.600	14.920	0.495	0.211	0.455	113.439	379.573	14.917	113	378	13	2	4	5
1.133	8.534	47	38	12435	264.574	47.865	261.000	203	403	136.915	190.532	16.468	0.624	0.222	0.645	136.899	190.569	16.410	135	189	14	4	4	6
28.488	98.745	1182	557	477627	404.084	204.205	336.000	200	1359	43.612	204.732	23.215	2.084	0.700	2.062	43.105	205.122	22.939	35	195	14	20	16	17
0.265	3.527	11	11	2393	217.545	9.310	217.000	201	236	378.182	216.545	15.455	0.420	0.183	0.422	378.181	216.550	15.449	378	215	14	2	4	4
0.578	5.713	24	21	6540	272.500	57.321	251.000	200	410	428.125	272.750	15.917	0.491	0.196	0.463	428.154	272.759	15.875	427	272	14	3	3	5
162.732	508.522	6752	3130	1971432	291.977	92.587	264.000	200	1001	222.060	291.859	24.684	4.467	2.008	4.018	221.523	292.034	24.473	181	276	14	79	31	17
10.725	58.501	445	305	139392	313.240	113.278	277.000	200	775	339.155	330.027	22.485	1.708	0.676	1.623	339.154	330.428	22.309	336	324	14	7	14	17
3.591	23.837	149	108	49310	330.940	128.989	285.000	200	727	132.805	381.443	20.812	1.422	0.875	1.144	132.931	381.448	20.461	130	379	14	6	6	17
0.241	2.627	10	10	2166	216.600	8.289	220.500	205	229	509.400	119.500	15.800	0.320	0.121	0.350	509.404	119.493	15.790	509	119	15	2	2	3
1.277	10.332	53	45	13871	261.717	54.960	245.000	200	422	160.226	161.755	18.358	0.647	0.256	0.616	160.215	161.773	18.298	158	160	15	5	4	7
0.651	6.101	27	27	6706	248.370	39.724	251.000	202	321	436.481	174.111	17.407	0.552	0.264	0.564	436.491	174.141	17.396	435	173	15	3	3	6
0.506	5.131	21	19	4771	227.190	27.027	219.000	200	297	146.000	175.333	16.714	0.466	0.184	0.408	145.992	175.328	16.680	145	174	15	3	3	5
0.410	4.038	17	17	3958	232.824	26.637	224.000	200	285	374.235	214.471	16.176	0.410	0.172	0.391	374.240	214.442	16.180	373	214	15	3	2	4
2.121	14.441	88	71	22373	254.239	39.952	247.000	201	367	98.091	260.920	19.307	0.913	0.417	0.845	98.106	260.936	19.254	96	259	15	5	5	10
